AZURE,,,,,,,GCP,,,,,,,AWS,,,,,
Series,Virtual Machine,Instance vCPUs,Instance Memory,Total Platform Scope 3 Emissions  (kgCO₂eq),Total Platform Scope 3 Emissions  (mtCO₂eq),,Machine Family,Machine type,Instance vCPUs,Instance Memory,Total Platform Scope 3 Emissions  (kgCO₂eq),Total Platform Scope 3 Emissions  (mtCO₂eq),,Instance Family,Instance Type,vCPUS,Memory (GB),Total Platform Scope 3 Emissions  (kgCO₂eq),Total Platform Scope 3 Emissions  (mtCO₂eq)
D2 – D64 v4,D16 v4,16,64,1432.9,1.4329,,n1,n1-highcpu-8,8,7.2,1297.6,1.2976,,dc2,dc2.8xlarge,32,244,1816.2132,1.8162132
D2 – D64 v4,D2 v4,2,8,1432.9,1.4329,,n1,n1-highcpu-16,16,14.4,1297.6,1.2976,,ds2,ds2.xlarge,4,31,1816.2132,1.8162132
D2 – D64 v4,D32 v4,32,128,1432.9,1.4329,,n1,n1-highcpu-32,32,28.8,1297.6,1.2976,,ds2,ds2.8xlarge,36,244,1816.2132,1.8162132
D2 – D64 v4,D4 v4,4,16,1432.9,1.4329,,n1,n1-highcpu-64,64,57.6,1297.6,1.2976,,f1,f1.2xlarge,8,122,2831.424,2.831424
D2 – D64 v4,D48 v4,48,192,1432.9,1.4329,,n1,n1-highcpu-96,96,86.4,1297.6,1.2976,,f1,f1.4xlarge,16,244,2831.424,2.831424
D2 – D64 v4,D64 v4,64,256,1432.9,1.4329,,n1 Shared-core,f1-micro,1,0.6,1577.1,1.5771,,f1,f1.16xlarge,64,976,2831.424,2.831424
D2 – D64 v4,D8 v4,8,32,1432.9,1.4329,,n1 Shared-core,g1-small,1,1.7,1577.1,1.5771,,g2,g2.2xlarge,8,15,1961.0236,1.9610236
D2-64 v3,D16 v3,16,64,1445.4,1.4454,,Compute-optimized,c2-standard-4,4,16,1510.7,1.5107,,g2,g2.8xlarge,32,60,1961.0236,1.9610236
D2-64 v3,D2 v3,2,8,1482.9,1.4829,,Compute-optimized,c2-standard-8,8,32,1510.7,1.5107,,g3s,g3s.xlarge,4,30.5,2354.6168,2.3546168
D2-64 v3,D32 v3,32,128,1482.9,1.4829,,Compute-optimized,c2-standard-16,16,64,1510.7,1.5107,,g3,g3.4xlarge,16,122,2354.6168,2.3546168
D2-64 v3,D4 v3,4,16,1482.9,1.4829,,Compute-optimized,c2-standard-30,30,120,1510.7,1.5107,,g3,g3.8xlarge,32,244,2354.6168,2.3546168
D2-64 v3,D48 v3,48,192,1482.9,1.4829,,Compute-optimized,c2-standard-60,60,240,1510.7,1.5107,,g3,g3.16xlarge,64,488,2354.6168,2.3546168
D2-64 v3,D64 v3,64,256,1482.9,1.4829,,m1,m1-ultramem-40,40,961,1100,1.1,,g4dn,g4dn.xlarge,4,16,3010.3792,3.0103792
D2-64 v3,D8 v3,8,32,1482.9,1.4829,,m1,m1-ultramem-80,80,1922,1100,1.1,,g4dn,g4dn.2xlarge,8,32,3010.3792,3.0103792
D2a – D96a v4,D16a v4,16,64,1560.4,1.5604,,m1,m1-ultramem-160,160,3844,1100,1.1,,g4dn,g4dn.4xlarge,16,64,3010.3792,3.0103792
D2a – D96a v4,D2a v4,2,8,1560.4,1.5604,,m1,m1-megamem-96,96,1433.6,1200,1.2,,g4dn,g4dn.8xlarge,32,128,3010.3792,3.0103792
D2a – D96a v4,D32a v4,32,128,1560.4,1.5604,,m2,m2-ultramem-208,208,5.888,1100,1.1,,g4dn,g4dn.16xlarge,64,256,3010.3792,3.0103792
D2a – D96a v4,D48a v4,48,192,1560.4,1.5604,,m2,m2-ultramem-416,416,11.776,1100,1.1,,g4dn,g4dn.12xlarge,48,192,3010.3792,3.0103792
D2a – D96a v4,D4a v4,4,16,1560.4,1.5604,,m2,m2-megamem-416,416,5.888,1100,1.1,,g4dn,g4dn.metal,96,384,3010.3792,3.0103792
D2a – D96a v4,D64a v4,64,256,1560.4,1.5604,,Accelorator-optimized highgpu,a2-highgpu-1g,12,85,5464,5.464,,g4ad,g4ad.4xlarge,16,64,2310.3792,2.3103792
D2a – D96a v4,D8a v4,8,32,1560.4,1.5604,,Accelorator-optimized highgpu,a2-highgpu-2g,24,170,5464,5.464,,g4ad,g4ad.8xlarge,32,128,2310.3792,2.3103792
D2a – D96a v4,D96a v4,96,384,1560.4,1.5604,,Accelorator-optimized highgpu,a2-highgpu-4g,48,340,5464,5.464,,g4ad,g4ad.16xlarge,64,256,2310.3792,2.3103792
D2as – D96as v4,D16as v4,16,64,1560.4,1.5604,,Accelorator-optimized highgpu,a2-highgpu-8g,96,680,5464,5.464,,h1,h1.2xlarge,8,32,2632.856,2.632856
D2as – D96as v4,D2as v4,2,8,1560.4,1.5604,,Accelorator-optimized megagpu,a2-megagpu-16g,96,1360,5464,5.464,,h1,h1.4xlarge,16,64,2632.856,2.632856
D2as – D96as v4,D32as v4,32,128,1560.4,1.5604,,,,,,,,,h1,h1.8xlarge,32,128,2632.856,2.632856
D2as – D96as v4,D48as v4,48,192,1560.4,1.5604,,,,,,,,,h1,h1.16xlarge,64,256,2632.856,2.632856
D2as – D96as v4,D4as v4,4,16,1560.4,1.5604,,,,,,,,,hs1,hs1.8xlarge,16,117,2616.2132,2.6162132
D2as – D96as v4,D64as v4,64,256,1560.4,1.5604,,,,,,,,,i2,i2.xlarge,4,30.5,2216.2132,2.2162132
D2as – D96as v4,D8as v4,8,32,1560.4,1.5604,,,,,,,,,i2,i2.2xlarge,8,61,2216.2132,2.2162132
D2as – D96as v4,D96as v4,96,384,1560.4,1.5604,,,,,,,,,i2,i2.4xlarge,16,122,2216.2132,2.2162132
D2d – D64d v4,D16d v4,16,64,1482.9,1.4829,,,,,,,,,i2,i2.8xlarge,32,244,2216.2132,2.2162132
D2d – D64d v4,D2d v4,2,8,1482.9,1.4829,,,,,,,,,i3,i3.large,2,15.25,2587.9024,2.5879024
D2d – D64d v4,D32d v4,32,128,1482.9,1.4829,,,,,,,,,i3,i3.xlarge,4,30.5,2587.9024,2.5879024
D2d – D64d v4,D48d v4,48,192,1482.9,1.4829,,,,,,,,,i3,i3.2xlarge,8,61,2587.9024,2.5879024
D2d – D64d v4,D4d v4,4,16,1482.9,1.4829,,,,,,,,,i3,i3.4xlarge,16,122,2587.9024,2.5879024
D2d – D64d v4,D64d v4,64,256,1482.9,1.4829,,,,,,,,,i3,i3.8xlarge,32,244,2587.9024,2.5879024
D2d – D64d v4,D8d v4,8,32,1482.9,1.4829,,,,,,,,,i3,i3.16xlarge,64,488,2587.9024,2.5879024
D2ds – D64ds v4,D16ds v4,16,64,1532.9,1.5329,,,,,,,,,i3,i3.metal,72,512,2587.9024,2.5879024
D2ds – D64ds v4,D2ds v4,2,8,1532.9,1.5329,,,,,,,,,i3en,i3en.large,2,16,2942.9488,2.9429488
D2ds – D64ds v4,D32ds v4,32,128,1532.9,1.5329,,,,,,,,,i3en,i3en.xlarge,4,32,2942.9488,2.9429488
D2ds – D64ds v4,D48ds v4,48,192,1532.9,1.5329,,,,,,,,,i3en,i3en.2xlarge,8,64,2942.9488,2.9429488
D2ds – D64ds v4,D4ds v4,4,16,1532.9,1.5329,,,,,,,,,i3en,i3en.3xlarge,12,96,2942.9488,2.9429488
D2ds – D64ds v4,D64ds v4,64,256,1532.9,1.5329,,,,,,,,,i3en,i3en.6xlarge,24,192,2942.9488,2.9429488
D2ds – D64ds v4,D8ds v4,8,32,1532.9,1.5329,,,,,,,,,i3en,i3en.12xlarge,48,384,2942.9488,2.9429488
D2s – D64s v4,D16s v4,16,64,1507.9,1.5079,,,,,,,,,i3en,i3en.24xlarge,96,768,2942.9488,2.9429488
D2s – D64s v4,D2s v4,2,8,1432.9,1.4329,,,,,,,,,i3en,i3en.metal,96,768,2942.9488,2.9429488
